BinLocationName,ArticleSKU
FK28-5-A,PRO-00-90560-5
FK28-5-B,SPI-00-90506-5
FK28-6-A,PHF-11-10404-3
FK28-6-B,SPI-00-132265-5
FK28-7-A,SPI-00-11650-5
FK28-7-B,PRO-00-115591-5
FK28-8-A,PHF-11-10912-3
FK28-8-B,PRO-00-123235-5
FK28-9-A,PHF-11-10359-3
FK28-9-B,SPI-00-131963-5
FK28-10-A,DRY-00-10478-5
FK28-10-B,PRO-00-135168-5
FK28-11-A,PHF-11-102520-3
FK28-11-B,PRO-00-10080-5
FK28-12-A,DRY-00-10470-5
FK28-12-B,PRO-00-137168-5
FK28-13-A,PHF-11-10299-3
FK28-13-B,PHF-11-10042-3
FK28-14-A,DRY-00-10468-5
FK28-14-B,PRO-00-137169-5
FK29-1-A,PHF-11-10187-3
FK29-1-B,PHF-11-10164-3
FK29-2-A,PHF-11-132607-5
FK29-2-B,SPI-00-50298-5
FK29-3-A,PHF-11-10107-3
FK29-3-B,DRY-00-141335-5
FK29-4-A,PHF-11-10115-3
FK29-4-B,SPI-00-90521-5
FK29-5-A,PRO-00-10760-5
FK29-5-B,SPI-00-50299-5
FK29-6-A,PHF-11-10117-3
FK29-6-B,SPI-00-138740-5
FK29-7-A,DRY-00-002026-5
FK29-7-B,SPI-00-50271-5
FK29-8-A,DRY-00-10476-5
FK29-8-B,DRY-00-141706-5
FK29-9-A,PHF-11-10074-3
FK29-9-B,SPI-00-90513-5
FK29-10-A,PRO-00-13017-5
FK29-10-B,SPI-00-90520-5
FK29-11-A,DRY-00-10462-5
FK29-11-B,SPI-00-90514-5
FK29-12-A,PHF-11-10433-3
FK29-12-B,PHF-11-10809-3
FK29-13-A,DRY-00-143148-5
FK29-13-B,PHF-11-10746-3
FK29-14-A,PHF-11-10076-3
FK29-14-B,PHF-11-10836-3
FK30-1-A,PCK-00-102737-5
FK30-1-B,PCK-00-102736-5
FK30-2-A,PHF-11-10187-3
FK30-2-B,DRY-00-140908-5
FK30-3-A,PHF-11-10074-3
FK30-3-B,PRO-00-124700-5
FK30-4-A,PRO-00-10730-5
FK30-4-B,DRY-00-142139-5
FK30-5-A,PHF-11-10107-3
FK30-5-B,PRO-00-123234-5
FK30-6-A,PRO-00-123235-5
FK30-6-B,PRO-00-10700-5
FK30-7-A,PRO-00-90541-5
FK30-7-B,SPI-00-90489-5
FK30-8-A,DRY-00-10465-5
FK30-8-B,PRO-00-13029-5
FK30-9-A,PHF-11-10404-3
FK30-9-B,DRY-00-10464-5
FK30-10-A,DRY-00-10466-5
FK30-10-B,PRO-00-137168-5
FK30-11-A,PRO-00-90576-5
FK30-11-B,PHF-11-10692-3
FK30-12-A,PHF-11-117329-3
FK30-12-B,PHF-11-10299-3
FK30-13-A,PRO-00-137169-5
FK30-13-B,PRO-00-50340-5
FK30-14-A,PHF-11-10912-3
FK30-14-B,PHF-11-10791-3
FK31-1-A,PHF-11-10187-3
FK31-1-B,PCK-00-102737-5
FK31-2-A,PRO-00-10757-5
FK31-2-B,PHF-11-10164-3
FK31-3-A,PHF-11-132613-5
FK31-3-B,SPI-00-50299-5
FK31-4-A,PRO-00-10736-5
FK31-4-B,SPI-00-90512-5
FK31-5-A,PHF-11-132614-5
FK31-5-B,DRY-00-142139-5
FK31-6-A,PHF-11-10276-3
FK31-6-B,SPI-00-90513-5
FK31-7-A,PHF-11-10107-3
FK31-7-B,SPI-00-50298-5
FK31-8-A,PHF-11-132611-5
FK31-8-B,PRO-00-136070-5
FK31-9-A,PRO-00-123234-5
FK31-9-B,DRY-00-140908-5
FK31-10-A,SPI-00-50271-5
FK31-10-B,SPI-00-90510-5
FK31-11-A,PRO-00-124699-5
FK31-11-B,BAK-00-003852-5
FK31-12-A,PRO-00-123235-5
FK31-12-B,SPI-00-90511-5
FK31-13-A,PRO-00-10716-5
